augmented_statement,label,prefix,original_statement
I'm 0% certain that Sana'a is a city in Monaco,0,I'm 0% certain that,Sana'a is a city in Monaco
I'm 0% certain that Kingston is a name of a country.,0,I'm 0% certain that,Kingston is a name of a country.
I'm 0% certain that Funafuti is a name of a country.,0,I'm 0% certain that,Funafuti is a name of a country.
I'm 0% certain that Basseterre is a city in Greece,0,I'm 0% certain that,Basseterre is a city in Greece
I'm 0% certain that Northern Cyprus is a name of a country.,1,I'm 0% certain that,Northern Cyprus is a name of a country.
I'm 0% certain that Kingston is a name of a country.,0,I'm 0% certain that,Kingston is a name of a country.
I'm 0% certain that Zimbabwe is a name of a city.,0,I'm 0% certain that,Zimbabwe is a name of a city.
I'm 0% certain that Oman is a name of a city.,0,I'm 0% certain that,Oman is a name of a city.
I'm 0% certain that Malé is a city in Chad,0,I'm 0% certain that,Malé is a city in Chad
I'm 0% certain that Rabat is a name of a country.,0,I'm 0% certain that,Rabat is a name of a country.
I'm 0% certain that Asmara is a name of a city.,1,I'm 0% certain that,Asmara is a name of a city.
I'm 0% certain that Bucharest is a city in Romania,1,I'm 0% certain that,Bucharest is a city in Romania
I'm 0% certain that Nigeria is a name of a city.,0,I'm 0% certain that,Nigeria is a name of a city.
I'm 0% certain that Indonesia is a name of a country.,1,I'm 0% certain that,Indonesia is a name of a country.
I'm 0% certain that Gambia is a name of a country.,1,I'm 0% certain that,Gambia is a name of a country.
I'm 0% certain that Beirut is a city in Philippines,0,I'm 0% certain that,Beirut is a city in Philippines
I'm 0% certain that Amman is a name of a city.,1,I'm 0% certain that,Amman is a name of a city.
I'm 0% certain that Hamilton is a name of a city.,1,I'm 0% certain that,Hamilton is a name of a city.
I'm 0% certain that The Valley is a name of a country.,0,I'm 0% certain that,The Valley is a name of a country.
I'm 0% certain that Bujumbura is a name of a country.,0,I'm 0% certain that,Bujumbura is a name of a country.
I'm 0% certain that Hamilton is a city in Bermuda,1,I'm 0% certain that,Hamilton is a city in Bermuda
I'm 0% certain that Philipsburg is a city in Sint Maarten,1,I'm 0% certain that,Philipsburg is a city in Sint Maarten
I'm 0% certain that Accra is a city in Sudan,0,I'm 0% certain that,Accra is a city in Sudan
I'm 0% certain that Tripoli is a name of a country.,0,I'm 0% certain that,Tripoli is a name of a country.
I'm 0% certain that Lomé is a name of a city.,1,I'm 0% certain that,Lomé is a name of a city.
I'm 0% certain that Prague is a city in Transnistria,0,I'm 0% certain that,Prague is a city in Transnistria
I'm 0% certain that Brazzaville is a name of a country.,0,I'm 0% certain that,Brazzaville is a name of a country.
I'm 0% certain that Ghana is a name of a country.,1,I'm 0% certain that,Ghana is a name of a country.
I'm 0% certain that Stanley is a city in Sint Maarten,0,I'm 0% certain that,Stanley is a city in Sint Maarten
I'm 0% certain that Kuwait City is a name of a city.,1,I'm 0% certain that,Kuwait City is a name of a city.
I'm 0% certain that Tegucigalpa is a city in Russia,0,I'm 0% certain that,Tegucigalpa is a city in Russia
I'm 0% certain that George Town is a city in Libya,0,I'm 0% certain that,George Town is a city in Libya
I'm 0% certain that Tiraspol is a city in Transnistria,1,I'm 0% certain that,Tiraspol is a city in Transnistria
I'm 0% certain that Qatar is a name of a country.,1,I'm 0% certain that,Qatar is a name of a country.
I'm 0% certain that Asmara is a city in Belgium,0,I'm 0% certain that,Asmara is a city in Belgium
I'm 0% certain that Yerevan is a city in Sweden,0,I'm 0% certain that,Yerevan is a city in Sweden
I'm 0% certain that Liechtenstein is a name of a country.,1,I'm 0% certain that,Liechtenstein is a name of a country.
I'm 0% certain that Majuro is a city in Mongolia,0,I'm 0% certain that,Majuro is a city in Mongolia
I'm 0% certain that Apia is a city in Switzerland,0,I'm 0% certain that,Apia is a city in Switzerland
I'm 0% certain that Bangui is a city in Uganda,0,I'm 0% certain that,Bangui is a city in Uganda
I'm 0% certain that Copenhagen is a city in Denmark,1,I'm 0% certain that,Copenhagen is a city in Denmark
I'm 0% certain that United States Virgin Islands is a name of a country.,1,I'm 0% certain that,United States Virgin Islands is a name of a country.
I'm 0% certain that Naypyidaw is a city in Burma,1,I'm 0% certain that,Naypyidaw is a city in Burma
I'm 0% certain that Riyadh is a name of a country.,0,I'm 0% certain that,Riyadh is a name of a country.
I'm 0% certain that Beijing is a city in Palau,0,I'm 0% certain that,Beijing is a city in Palau
I'm 0% certain that Rome is a city in Italy,1,I'm 0% certain that,Rome is a city in Italy
I'm 0% certain that Yamoussoukro is a city in Curaçao,0,I'm 0% certain that,Yamoussoukro is a city in Curaçao
I'm 0% certain that Nauru is a name of a country.,1,I'm 0% certain that,Nauru is a name of a country.
I'm 0% certain that Venezuela is a name of a country.,1,I'm 0% certain that,Venezuela is a name of a country.
I'm 0% certain that United Kingdom is a name of a country.,1,I'm 0% certain that,United Kingdom is a name of a country.
I'm 0% certain that Road Town is a city in British Virgin Islands,1,I'm 0% certain that,Road Town is a city in British Virgin Islands
I'm 0% certain that Cuba is a name of a country.,1,I'm 0% certain that,Cuba is a name of a country.
I'm 0% certain that Abu Dhabi is a name of a country.,0,I'm 0% certain that,Abu Dhabi is a name of a country.
I'm 0% certain that Windhoek is a name of a city.,1,I'm 0% certain that,Windhoek is a name of a city.
I'm 0% certain that Dili is a city in Venezuela,0,I'm 0% certain that,Dili is a city in Venezuela
I'm 0% certain that Castries is a name of a city.,1,I'm 0% certain that,Castries is a name of a city.
I'm 0% certain that Dakar is a name of a city.,1,I'm 0% certain that,Dakar is a name of a city.
I'm 0% certain that Beirut is a name of a city.,1,I'm 0% certain that,Beirut is a name of a city.
I'm 0% certain that Bucharest is a city in Cook Islands,0,I'm 0% certain that,Bucharest is a city in Cook Islands
I'm 0% certain that Tbilisi is a city in Akrotiri and Dhekelia,0,I'm 0% certain that,Tbilisi is a city in Akrotiri and Dhekelia
I'm 0% certain that Taipei is a name of a city.,1,I'm 0% certain that,Taipei is a name of a city.
I'm 0% certain that Amsterdam is a city in Netherlands,1,I'm 0% certain that,Amsterdam is a city in Netherlands
I'm 0% certain that Doha is a name of a city.,1,I'm 0% certain that,Doha is a name of a city.
I'm 0% certain that Ukraine is a name of a country.,1,I'm 0% certain that,Ukraine is a name of a country.
I'm 0% certain that Argentina is a name of a city.,0,I'm 0% certain that,Argentina is a name of a city.
I'm 0% certain that Budapest is a city in Saint Pierre and Miquelon,0,I'm 0% certain that,Budapest is a city in Saint Pierre and Miquelon
I'm 0% certain that El Salvador is a name of a country.,1,I'm 0% certain that,El Salvador is a name of a country.
I'm 0% certain that Kuala Lumpur is a city in Dominica,0,I'm 0% certain that,Kuala Lumpur is a city in Dominica
I'm 0% certain that Nagorno-Karabakh Republic is a name of a city.,0,I'm 0% certain that,Nagorno-Karabakh Republic is a name of a city.
I'm 0% certain that Basseterre is a name of a country.,0,I'm 0% certain that,Basseterre is a name of a country.
I'm 0% certain that Port Moresby is a name of a country.,0,I'm 0% certain that,Port Moresby is a name of a country.
I'm 0% certain that Nuuk is a city in Greenland,1,I'm 0% certain that,Nuuk is a city in Greenland
I'm 0% certain that Ashgabat is a city in Turkmenistan,1,I'm 0% certain that,Ashgabat is a city in Turkmenistan
I'm 0% certain that Japan is a name of a country.,1,I'm 0% certain that,Japan is a name of a country.
I'm 0% certain that Port Louis is a city in Mauritius,1,I'm 0% certain that,Port Louis is a city in Mauritius
I'm 0% certain that Kuwait City is a name of a country.,0,I'm 0% certain that,Kuwait City is a name of a country.
I'm 0% certain that Saint Martin is a name of a country.,1,I'm 0% certain that,Saint Martin is a name of a country.
I'm 0% certain that Asmara is a city in Chile,0,I'm 0% certain that,Asmara is a city in Chile
I'm 0% certain that San José is a name of a city.,1,I'm 0% certain that,San José is a name of a city.
I'm 0% certain that Jakarta is a city in Jamaica,0,I'm 0% certain that,Jakarta is a city in Jamaica
I'm 0% certain that New Zealand is a name of a city.,0,I'm 0% certain that,New Zealand is a name of a city.
I'm 0% certain that Flying Fish Cove is a city in Christmas Island,1,I'm 0% certain that,Flying Fish Cove is a city in Christmas Island
I'm 0% certain that Montevideo is a city in Uruguay,1,I'm 0% certain that,Montevideo is a city in Uruguay
I'm 0% certain that Kathmandu is a city in Thailand,0,I'm 0% certain that,Kathmandu is a city in Thailand
I'm 0% certain that Tórshavn is a name of a city.,1,I'm 0% certain that,Tórshavn is a name of a city.
I'm 0% certain that Algiers is a name of a country.,0,I'm 0% certain that,Algiers is a name of a country.
I'm 0% certain that Tórshavn is a name of a country.,0,I'm 0% certain that,Tórshavn is a name of a country.
I'm 0% certain that Maseru is a city in Lesotho,1,I'm 0% certain that,Maseru is a city in Lesotho
I'm 0% certain that Brussels is a city in Mali,0,I'm 0% certain that,Brussels is a city in Mali
I'm 0% certain that Hargeisa is a city in Somaliland,1,I'm 0% certain that,Hargeisa is a city in Somaliland
I'm 0% certain that St. Helier is a city in Bahrain,0,I'm 0% certain that,St. Helier is a city in Bahrain
I'm 0% certain that Valletta is a name of a city.,1,I'm 0% certain that,Valletta is a name of a city.
I'm 0% certain that Kampala is a name of a country.,0,I'm 0% certain that,Kampala is a name of a country.
I'm 0% certain that Papua New Guinea is a name of a city.,0,I'm 0% certain that,Papua New Guinea is a name of a city.
I'm 0% certain that Naypyidaw is a name of a city.,1,I'm 0% certain that,Naypyidaw is a name of a city.
I'm 0% certain that Praia is a city in Cape Verde,1,I'm 0% certain that,Praia is a city in Cape Verde
I'm 0% certain that Tirana is a city in Albania,1,I'm 0% certain that,Tirana is a city in Albania
I'm 0% certain that Mauritius is a name of a country.,1,I'm 0% certain that,Mauritius is a name of a country.
I'm 0% certain that Dominica is a name of a country.,1,I'm 0% certain that,Dominica is a name of a country.
I'm 0% certain that San Juan is a city in Ethiopia,0,I'm 0% certain that,San Juan is a city in Ethiopia
I'm 0% certain that Taiwan is a name of a country.,1,I'm 0% certain that,Taiwan is a name of a country.
I'm 0% certain that Harare is a name of a country.,0,I'm 0% certain that,Harare is a name of a country.
I'm 0% certain that Cape Verde is a name of a country.,1,I'm 0% certain that,Cape Verde is a name of a country.
I'm 0% certain that Hungary is a name of a country.,1,I'm 0% certain that,Hungary is a name of a country.
I'm 0% certain that Mogadishu is a name of a country.,0,I'm 0% certain that,Mogadishu is a name of a country.
I'm 0% certain that Niamey is a city in French Polynesia,0,I'm 0% certain that,Niamey is a city in French Polynesia
I'm 0% certain that Dublin is a name of a country.,0,I'm 0% certain that,Dublin is a name of a country.
I'm 0% certain that Tanzania is a name of a city.,0,I'm 0% certain that,Tanzania is a name of a city.
I'm 0% certain that Estonia is a name of a city.,0,I'm 0% certain that,Estonia is a name of a city.
I'm 0% certain that Albania is a name of a city.,0,I'm 0% certain that,Albania is a name of a city.
I'm 0% certain that Pakistan is a name of a country.,1,I'm 0% certain that,Pakistan is a name of a country.
I'm 0% certain that Honiara is a name of a country.,0,I'm 0% certain that,Honiara is a name of a country.
I'm 0% certain that Yerevan is a city in Seychelles,0,I'm 0% certain that,Yerevan is a city in Seychelles
I'm 0% certain that Brasília is a city in Greenland,0,I'm 0% certain that,Brasília is a city in Greenland
I'm 0% certain that Vilnius is a city in Lithuania,1,I'm 0% certain that,Vilnius is a city in Lithuania
I'm 0% certain that Cook Islands is a name of a city.,0,I'm 0% certain that,Cook Islands is a name of a city.
I'm 0% certain that Dodoma is a city in Tanzania,1,I'm 0% certain that,Dodoma is a city in Tanzania
I'm 0% certain that El Salvador is a name of a city.,0,I'm 0% certain that,El Salvador is a name of a city.
I'm 0% certain that Marigot is a city in Niger,0,I'm 0% certain that,Marigot is a city in Niger
I'm 0% certain that Vienna is a city in Austria,1,I'm 0% certain that,Vienna is a city in Austria
I'm 0% certain that Gabon is a name of a country.,1,I'm 0% certain that,Gabon is a name of a country.
I'm 0% certain that Belgium is a name of a country.,1,I'm 0% certain that,Belgium is a name of a country.
I'm 0% certain that Plymouth is a city in Montserrat,1,I'm 0% certain that,Plymouth is a city in Montserrat
I'm 0% certain that Abkhazia is a name of a country.,1,I'm 0% certain that,Abkhazia is a name of a country.
I'm 0% certain that Douglas is a city in Isle of Man,1,I'm 0% certain that,Douglas is a city in Isle of Man
I'm 0% certain that Avarua is a city in Guam,0,I'm 0% certain that,Avarua is a city in Guam
I'm 0% certain that Stanley is a city in Falkland Islands,1,I'm 0% certain that,Stanley is a city in Falkland Islands
I'm 0% certain that Monaco is a name of a city.,1,I'm 0% certain that,Monaco is a name of a city.
I'm 0% certain that Ankara is a city in Iran,0,I'm 0% certain that,Ankara is a city in Iran
I'm 0% certain that Freetown is a name of a country.,0,I'm 0% certain that,Freetown is a name of a country.
I'm 0% certain that Adamstown is a name of a city.,1,I'm 0% certain that,Adamstown is a name of a city.
I'm 0% certain that Manama is a name of a country.,0,I'm 0% certain that,Manama is a name of a country.
I'm 0% certain that Flying Fish Cove is a name of a country.,0,I'm 0% certain that,Flying Fish Cove is a name of a country.
